epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,51023.7,1.27939,0.18247,1.86282,0.96747,0.96128,0.98426,0.86103,0.46893,0.05917,0.90123,7.89662e-05,7.89662e-05,7.89662e-05
93,51567.8,1.30859,0.19196,1.88642,0.96861,0.96128,0.98436,0.8611,0.46832,0.05877,0.90128,7.85378e-05,7.85378e-05,7.85378e-05
94,52117.6,1.31473,0.19156,1.89554,0.96797,0.96128,0.98444,0.86093,0.4679,0.0586,0.90128,7.81064e-05,7.81064e-05,7.81064e-05
95,52673,1.33307,0.19512,1.90645,0.96883,0.96128,0.98456,0.86091,0.46744,0.0582,0.90119,7.76718e-05,7.76718e-05,7.76718e-05
96,53223.1,1.28835,0.18697,1.86329,0.96765,0.96128,0.98461,0.86036,0.46724,0.05794,0.9016,7.72342e-05,7.72342e-05,7.72342e-05
97,53773,1.27772,0.1825,1.86799,0.96844,0.96128,0.98424,0.86103,0.46664,0.05786,0.9016,7.67937e-05,7.67937e-05,7.67937e-05
98,54324.4,1.30736,0.19332,1.90835,0.9689,0.96128,0.9847,0.8614,0.46662,0.05778,0.90208,7.63502e-05,7.63502e-05,7.63502e-05
99,54874.6,1.2691,0.18693,1.86174,0.97036,0.96146,0.98482,0.86214,0.46618,0.0576,0.9021,7.59038e-05,7.59038e-05,7.59038e-05
100,55427.1,1.2763,0.18345,1.88938,0.97052,0.96128,0.98489,0.86241,0.46589,0.0575,0.90211,7.54545e-05,7.54545e-05,7.54545e-05
101,55977.5,1.29094,0.18764,1.85206,0.97396,0.96128,0.98498,0.86256,0.46529,0.0573,0.9019,7.50025e-05,7.50025e-05,7.50025e-05
102,56527.5,1.30874,0.19271,1.87528,0.97261,0.96262,0.98523,0.86198,0.46497,0.0569,0.90184,7.45477e-05,7.45477e-05,7.45477e-05
103,57078.7,1.2763,0.18416,1.87472,0.97429,0.96144,0.98528,0.86233,0.46454,0.05658,0.90173,7.40903e-05,7.40903e-05,7.40903e-05
104,57634.9,1.27952,0.18512,1.8577,0.97096,0.96395,0.98538,0.86235,0.46441,0.05651,0.90182,7.36302e-05,7.36302e-05,7.36302e-05
105,58187.2,1.27518,0.17795,1.87156,0.97069,0.96395,0.98542,0.86215,0.46389,0.05636,0.90173,7.31675e-05,7.31675e-05,7.31675e-05
106,58738.8,1.30061,0.18837,1.91604,0.97177,0.96501,0.98546,0.86272,0.46378,0.05622,0.90168,7.27023e-05,7.27023e-05,7.27023e-05
107,59290.6,1.25132,0.18254,1.86095,0.97076,0.96395,0.98556,0.8628,0.46321,0.05615,0.90134,7.22345e-05,7.22345e-05,7.22345e-05
108,59843.1,1.27478,0.18908,1.87315,0.97176,0.96496,0.98551,0.862,0.46289,0.05599,0.90142,7.17644e-05,7.17644e-05,7.17644e-05
109,60394.8,1.26289,0.17902,1.86626,0.97046,0.965,0.98547,0.86292,0.46257,0.05574,0.90125,7.12918e-05,7.12918e-05,7.12918e-05
110,60948.3,1.27299,0.17761,1.87684,0.96663,0.96691,0.98552,0.86342,0.46224,0.0557,0.90123,7.0817e-05,7.0817e-05,7.0817e-05
111,61501.7,1.27612,0.18063,1.89156,0.96889,0.96662,0.98553,0.86443,0.46182,0.05562,0.90077,7.03398e-05,7.03398e-05,7.03398e-05
112,62054,1.25001,0.18275,1.88154,0.96964,0.96662,0.98556,0.86494,0.46126,0.0556,0.90071,6.98604e-05,6.98604e-05,6.98604e-05
113,62605.8,1.26534,0.17568,1.88091,0.97196,0.96529,0.98559,0.86458,0.46099,0.05534,0.9005,6.93788e-05,6.93788e-05,6.93788e-05
114,63159.3,1.27039,0.18075,1.88263,0.97304,0.96529,0.98567,0.86445,0.46047,0.05515,0.90033,6.88952e-05,6.88952e-05,6.88952e-05
115,63712.4,1.26412,0.17979,1.87414,0.97307,0.96498,0.9857,0.86519,0.46022,0.05482,0.89992,6.84094e-05,6.84094e-05,6.84094e-05
116,64265,1.28718,0.18585,1.88584,0.97308,0.96539,0.98572,0.86474,0.45982,0.05461,0.89966,6.79216e-05,6.79216e-05,6.79216e-05
117,64816.1,1.23309,0.17415,1.83636,0.97284,0.96529,0.98576,0.86611,0.45977,0.05421,0.89957,6.74319e-05,6.74319e-05,6.74319e-05
118,65369.6,1.25788,0.17816,1.88265,0.97128,0.96796,0.98585,0.86616,0.45927,0.05385,0.89947,6.69402e-05,6.69402e-05,6.69402e-05
119,65920.5,1.24643,0.17959,1.85381,0.9706,0.96956,0.9859,0.86617,0.45886,0.05357,0.89933,6.64467e-05,6.64467e-05,6.64467e-05
120,66471.7,1.24361,0.17483,1.85399,0.97065,0.97147,0.98591,0.86661,0.45854,0.05327,0.89906,6.59514e-05,6.59514e-05,6.59514e-05
121,67026.4,1.22727,0.17285,1.84636,0.9714,0.97196,0.98595,0.86611,0.45833,0.05304,0.89895,6.54543e-05,6.54543e-05,6.54543e-05
122,67580.6,1.24638,0.17318,1.85775,0.9719,0.96985,0.98634,0.86696,0.45808,0.05284,0.89887,6.49555e-05,6.49555e-05,6.49555e-05
123,68130.1,1.21911,0.17314,1.83613,0.97321,0.97002,0.98637,0.8676,0.45776,0.05267,0.89847,6.44551e-05,6.44551e-05,6.44551e-05
124,68680.4,1.24275,0.17557,1.85909,0.97162,0.97063,0.98684,0.86753,0.45703,0.05249,0.89823,6.39532e-05,6.39532e-05,6.39532e-05
125,69231.6,1.2294,0.17479,1.8174,0.9722,0.97063,0.98688,0.86836,0.45682,0.0524,0.89813,6.34496e-05,6.34496e-05,6.34496e-05
126,69786.2,1.25551,0.17354,1.86949,0.97191,0.97025,0.98695,0.86886,0.45639,0.05213,0.89796,6.29447e-05,6.29447e-05,6.29447e-05
127,70337.8,1.20395,0.16908,1.83127,0.97065,0.97152,0.98704,0.86959,0.45574,0.05193,0.89764,6.24383e-05,6.24383e-05,6.24383e-05
128,70889.4,1.22472,0.17099,1.84021,0.97063,0.9707,0.98712,0.86945,0.45553,0.05169,0.8975,6.19305e-05,6.19305e-05,6.19305e-05
129,71440.6,1.19106,0.16984,1.81524,0.97063,0.97081,0.98717,0.86911,0.45513,0.05144,0.89724,6.14214e-05,6.14214e-05,6.14214e-05
130,71992.1,1.22639,0.17049,1.86203,0.9704,0.97063,0.98727,0.86991,0.45478,0.05121,0.89709,6.09111e-05,6.09111e-05,6.09111e-05
131,72542.5,1.22935,0.17431,1.84678,0.9701,0.97063,0.98784,0.87069,0.4546,0.05096,0.89711,6.03995e-05,6.03995e-05,6.03995e-05
132,73093.5,1.22314,0.17158,1.82668,0.97061,0.97011,0.98788,0.87117,0.45431,0.05064,0.89696,5.98869e-05,5.98869e-05,5.98869e-05
133,73646.5,1.24633,0.17891,1.86868,0.96986,0.96929,0.98734,0.87089,0.45421,0.05051,0.89684,5.93731e-05,5.93731e-05,5.93731e-05
134,74202.5,1.21788,0.1692,1.83931,0.9696,0.96929,0.9874,0.87093,0.45385,0.05035,0.89667,5.88584e-05,5.88584e-05,5.88584e-05
135,74756.3,1.2399,0.17883,1.85905,0.97039,0.96929,0.98742,0.87144,0.45346,0.05022,0.89609,5.83426e-05,5.83426e-05,5.83426e-05
136,75310.4,1.23545,0.17572,1.87015,0.9701,0.96929,0.98745,0.87067,0.45264,0.05,0.89526,5.78259e-05,5.78259e-05,5.78259e-05
137,75862.6,1.19308,0.1735,1.81076,0.96986,0.96929,0.98789,0.8717,0.45196,0.04979,0.89478,5.73084e-05,5.73084e-05,5.73084e-05
